epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2027.97,1.14164,1.02565,1.2974,0.73355,0.65163,0.67458,0.42808,1.38375,1.21094,1.45876,0.0005941,0.0005941,0.0005941
43,2075.91,1.12455,0.99296,1.26109,0.59702,0.69731,0.65095,0.40307,1.39973,1.2251,1.4856,0.0005842,0.0005842,0.0005842
44,2127.83,1.1448,1.02119,1.28908,0.71881,0.70575,0.69005,0.43031,1.36334,1.23741,1.44192,0.0005743,0.0005743,0.0005743
45,2175.06,1.14796,1.02101,1.28479,0.64116,0.73913,0.66867,0.42676,1.38914,1.26127,1.45829,0.0005644,0.0005644,0.0005644
46,2224.64,1.13472,1.01269,1.26862,0.67821,0.71219,0.69325,0.44297,1.31241,1.22484,1.4172,0.0005545,0.0005545,0.0005545
47,2270.17,1.09993,0.9479,1.25185,0.63696,0.72127,0.6833,0.44797,1.47182,1.2949,1.49807,0.0005446,0.0005446,0.0005446
48,2316.12,1.15216,0.95504,1.28932,0.65305,0.73023,0.67534,0.44441,1.3725,1.18327,1.4404,0.0005347,0.0005347,0.0005347
49,2360.29,1.11167,1.01973,1.26341,0.58767,0.74094,0.63292,0.41529,1.40259,1.16004,1.46459,0.0005248,0.0005248,0.0005248
50,2406.25,1.1389,1.03417,1.27624,0.60107,0.7154,0.62102,0.38693,1.40412,1.15149,1.46151,0.0005149,0.0005149,0.0005149
51,2450.22,1.10989,0.94746,1.25955,0.66386,0.67604,0.66071,0.42513,1.34199,1.15488,1.42447,0.000505,0.000505,0.000505
52,2496.21,1.07722,0.90842,1.23692,0.6877,0.69262,0.67834,0.44718,1.33266,1.13499,1.41654,0.0004951,0.0004951,0.0004951
53,2542.18,1.0886,0.90864,1.24443,0.63504,0.70233,0.64803,0.40751,1.37015,1.20548,1.42934,0.0004852,0.0004852,0.0004852
54,2587.62,1.03784,0.86149,1.2033,0.65948,0.71589,0.70253,0.45526,1.35956,1.19157,1.4473,0.0004753,0.0004753,0.0004753
55,2635.03,1.06242,0.8972,1.23873,0.6037,0.70286,0.67551,0.44453,1.41372,1.30624,1.48744,0.0004654,0.0004654,0.0004654
56,2681.7,1.06362,0.86833,1.23729,0.67023,0.7405,0.70111,0.46587,1.34292,1.14736,1.44808,0.0004555,0.0004555,0.0004555
